"Pmax=? [ F ""success"" ]","Rmin=? [ F ""done"" ]",experiment
-0.8411,148.6526,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1827569288106788506877257_1_Front
-0.9445,158.5266,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1827569288106788506877257_1_Front
-0.8029,148.1339,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1827569288106788506877257_1_Front
-0.9851,159.7713,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1827569288106788506877257_1_Front
-0.8411,148.6526,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1828553020191334876885867_2_Front
-0.9445,158.5266,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1828553020191334876885867_2_Front
-0.8029,148.1339,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1828553020191334876885867_2_Front
-0.9851,159.7713,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1828553020191334876885867_2_Front
-0.8905,157.6931,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1828553020191334876885867_2_Front
-0.9456,158.565,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1828553020191334876885867_2_Front
-0.9931,159.7967,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1828553020191334876885867_2_Front
-0.9931,159.7967,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.7192,146.016,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.8905,157.6931,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.8029,148.1339,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.8411,148.6526,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.9445,158.5266,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.9791,158.8111,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.8354,148.4258,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
-0.9456,158.565,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural9/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_1830296483161022671664333_3_Front
