IGD,GD,HV,pareto_front_size,experiment,iteration,source_folder,time
8.814904389018167,0.9516052311368476,3579.4755199764586,6,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,1,agricultural1,7239.219
8.423308119920035,1.1262395396482645,3750.17890675065,11,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,2,agricultural1,7301.572
8.031795155332452,1.1160437359168118,3793.82625263884,15,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,3,agricultural1,7413.479
7.612285162869691,1.2539887011974238,3832.884081553773,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,4,agricultural1,7479.108
6.247097144836562,1.2967660776142542,4062.063207143744,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,5,agricultural1,7578.489
5.93917021228422,1.4048342863403265,4091.970672457194,15,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,6,agricultural1,7760.154
6.047732649534876,1.4136512858477928,4090.4889465500446,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,7,agricultural1,7898.12
5.959879469195564,1.3268408171717831,4096.505635906407,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,8,agricultural1,8092.629
6.2642725100724,1.5138468040744186,4081.527316303634,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,9,agricultural1,8160.918
5.923430925060075,1.651048728437568,4105.853168579889,15,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,10,agricultural1,8226.101
5.650192197318348,1.3210478292207817,4113.756907250621,15,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,11,agricultural1,8318.084
5.596328228449187,1.3038912963970242,4111.766285829756,13,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,12,agricultural1,8547.405
5.908309936839602,1.5956413235150342,4101.995189905279,12,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,13,agricultural1,8604.765
5.832033760445931,1.38115905282487,4108.808604157116,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,14,agricultural1,8731.912
6.057771591115817,1.4906102949265068,4096.325735281719,13,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,15,agricultural1,8893.601
5.926887834190366,1.3388500528121887,4112.006598675838,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,16,agricultural1,9027.852
5.768686438913092,1.3769781762649216,4150.813192041478,15,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,17,agricultural1,9078.704
5.788994922582467,1.166381292358245,4148.7678510893065,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,18,agricultural1,9285.366
5.981081454970659,1.4262759801189877,4130.947155832624,14,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,19,agricultural1,9382.542
5.6652062896620565,1.1890955543849189,4154.836800889756,13,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,20,agricultural1,9459.288
13.89585587048938,5.618439299171563,2613.033477724776,9,agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII,1,agricultural1,763.359
