"Pmax=? [ F ""success"" ]","Rmin=? [ F ""done"" ]",experiment
-0.0,0.0,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
-0.0,0.0,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
-0.0,0.0,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
-0.0,0.0,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
-0.0,0.0,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
0.85,196.0267,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
0.9354,204.7996,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
0.9518,206.9072,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
0.9751,211.0162,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06423115249368244423143343_1_Front
-0.0,0.0,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06432613004067313313252935_2_Front
-0.0,0.0,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06432613004067313313252935_2_Front
0.9979,213.0661,outputExpAgricultural_Both/exp14/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_06432613004067313313252935_2_Front
