"Pmax=? [ F ""success"" ]","Rmin=? [ F ""done"" ]",experiment
0.962,207.5828,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05175411647015940652103114_1_Front
0.9806,211.2128,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05175411647015940652103114_1_Front
0.9849,211.3516,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05175411647015940652103114_1_Front
0.9468,206.7166,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05175411647015940652103114_1_Front
0.7916,198.6835,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05175411647015940652103114_1_Front
0.8249,202.097,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05175411647015940652103114_1_Front
0.985,212.6044,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05175411647015940652103114_1_Front
0.962,207.5828,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.9806,211.2128,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.9849,211.3516,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.8249,202.097,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.992,212.1168,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.7936,195.9426,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.9849,211.3516,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.9791,210.4159,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.9291,204.8399,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.9468,206.7129,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.962,207.5828,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05185610669192538659682087_2_Front
0.962,207.5828,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9806,211.2128,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9849,211.3516,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.8249,202.097,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.992,212.1168,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.7936,195.9426,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9849,211.3516,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9791,210.4159,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9291,204.8399,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.962,207.5828,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9945,213.109,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9849,211.3516,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.7936,195.9426,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.962,207.5828,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.992,212.1168,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.7783,195.1761,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9474,205.6064,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.7936,195.9426,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.9679,209.5201,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0554092884751712843624782_3_Front
0.7783,195.1761,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
1.0,213.3187,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9419,204.6763,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.8249,202.097,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.8232,201.8549,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.7937,195.9479,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9679,209.5201,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.962,207.5828,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9543,206.3808,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9474,205.6064,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9791,210.4159,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.992,212.1168,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9567,207.3705,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9806,211.2128,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9494,205.8574,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.7936,195.9426,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9944,213.1035,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9791,210.4159,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.992,212.1168,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.9849,211.3516,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_05570017723720435306448647_4_Front
0.7783,195.1761,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0612577513906685118198237_5_Front
1.0,213.3169,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0612577513906685118198237_5_Front
1.0,213.3169,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0612577513906685118198237_5_Front
0.9271,203.8351,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0612577513906685118198237_5_Front
0.8249,202.0968,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0612577513906685118198237_5_Front
0.8063,196.668,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0612577513906685118198237_5_Front
0.8184,200.9438,outputExpAgricultural_Model/exp20/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0612577513906685118198237_5_Front
