"Pmax=? [ F ""success"" ]","Rmin=? [ F ""done"" ]",experiment
-0.6661,170.0676,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.8451,195.8297,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.9718,211.0844,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.7032,172.5962,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.9898,211.8606,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.9989,213.2478,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.8412,195.472,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.9667,209.609,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.5951,169.7135,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.4337,155.0609,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.499,169.3516,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.7816,187.1868,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.9535,206.3223,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15153717409139188315998288_1_Front
-0.9989,213.2478,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.4317,143.7243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.7816,187.1868,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.499,169.3516,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.7032,172.5962,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.4337,155.0609,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.9535,206.3223,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.5951,169.7135,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.8451,195.8297,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.8384,194.7689,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.6661,170.0676,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.9667,209.6089,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.9898,211.8606,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.9718,211.0844,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.9944,213.1064,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.9814,211.3491,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.8412,195.472,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15163213848880444620763296_2_Front
-0.9998,213.3029,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.4317,143.7243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.499,169.3516,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.9535,206.3223,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.5951,169.7135,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.8451,195.8297,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.7816,187.1868,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.7032,172.5962,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.6655,170.0124,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.7998,190.3258,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.4337,155.0609,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.8302,194.4757,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.4328,154.9052,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.7017,172.4143,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.6675,170.2433,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.7896,188.6258,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.9611,207.5243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1518075583765019919753455_3_Front
-0.9998,213.3029,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.3599,137.6684,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.499,169.3516,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.8451,195.8297,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.5951,169.7135,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.9495,205.8627,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.4317,143.7243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.7816,187.1868,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.7032,172.5962,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.6655,170.0124,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.7998,190.3258,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.4337,155.0609,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.4328,154.9052,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.9611,207.5243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_15431516320808472408960928_4_Front
-0.9998,213.3029,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.3599,137.6684,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.5396,166.7013,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.8451,195.8297,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.683,167.3647,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.9495,205.8627,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.4337,155.0608,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.4317,143.7243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.7816,187.1868,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.8177,190.2862,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.7032,172.5962,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.3607,137.8239,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.4328,154.9052,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.9611,207.5243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.9776,211.094,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1543535625671485241197594_5_Front
-0.9998,213.3029,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1544424242655278930710929_6_Front
-0.3599,137.6684,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1544424242655278930710929_6_Front
-0.683,167.3647,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1544424242655278930710929_6_Front
-0.568,150.1268,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1544424242655278930710929_6_Front
-0.4317,143.7243,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1544424242655278930710929_6_Front
-0.5679,150.1142,outputExpAgricultural_PropLarge/exp19/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1544424242655278930710929_6_Front
