IGD,GD,HV,pareto_front_size,experiment
16.91872986018881,9.065566937351823,1969.2891241599425,3,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1043228902035802215432374_2_Front
9.575097743950169,5.577254037963967,3116.1083421096378,14,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1044389354963170533110411_3_Front
9.344297349423162,7.602953120471407,3178.6007323056842,15,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1113195115922093957490622_4_Front
9.344297349423162,6.436821494014855,3170.309007061182,13,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11444116602872729155928628_5_Front
7.406773463760372,4.404475033022704,3484.4476098372334,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11450711523058204981971658_6_Front
6.735190334291816,3.190344111268321,3570.1971736020014,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1145487626522411131256453_7_Front
6.740896023045376,3.414891252560333,3564.111868694438,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1151227454479973540059645_8_Front
6.191442958957585,3.6428215783908553,3661.0905430380735,17,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11514717899089685590870049_9_Front
4.384614095982022,3.359882778847,3869.9036922582136,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11525912825891058022801640_10_Front
4.291322526435639,3.3672977833481155,3884.0769910830977,17,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11543212671468155626127413_11_Front
4.336786475064097,3.390353370324103,3918.647157374075,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11561811416146311387188791_12_Front
3.752362744319194,3.6878903115156336,3939.246529765857,17,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1158212153299785988428191_13_Front
3.755358297672841,4.101830804122035,3922.466233644732,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11584611740542708601238052_14_Front
4.390586807661563,3.734278260120602,3951.231811142441,15,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_11593611669428322548023125_15_Front
3.7140824614061554,3.0842155112836878,3998.950391288191,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1201356684663969223647972_16_Front
3.3131161529364994,2.601601578825325,4035.966827561246,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12045217179565443130796447_17_Front
3.261224748678669,2.3237092626387854,4101.762175558556,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1205348660274447442098681_18_Front
3.4154942842189144,1.8982057884201888,4122.737621160146,15,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1206526591477288391232791_19_Front
2.760321847930889,2.085882880800514,4199.513840296486,16,outputExpAgricultural_PropLarge/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12075113645423627134751161_20_Front
7.340431404996657,5.887181655922336,3297.502673915475,8,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12331417025484194824775366_1_Front
5.900073628310173,3.511905469005446,3477.2728628315203,12,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1233531950469992664002494_2_Front
5.798591582070949,3.0172024394084644,3493.2181489788727,14,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1234216126938142923280093_3_Front
4.081006111246691,1.2116411591861314,3842.24126181202,15,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12345014822618224382005466_4_Front
3.827217274057447,1.3773321045377604,3981.3375283628798,13,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12352211685141409395883567_5_Front
3.722970851299841,1.246011611084022,3986.4377302448584,13,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1236221187807792166102806_6_Front
3.8208163874543755,0.9643234133204006,3953.8905996440017,14,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12363914782540637323424044_7_Front
3.8404212879583883,1.0220884796804197,3966.9833928262046,13,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12365518211028537288230062_8_Front
3.5070426534186563,0.8704598158945175,4016.468511990955,14,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1237232147929638122887436_9_Front
3.5576480838702595,0.9265725095673015,4000.467523999127,14,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1238156701974359672296943_10_Front
3.1455083350030426,1.4027939085274663,4010.377578213945,15,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12382911825564064113731659_11_Front
3.625591708921132,2.018822425901798,3938.9183190154235,13,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1239009085527504235468028_12_Front
3.2720402723596407,1.3733604204105911,3979.4100880187752,14,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1239162429218582231630718_13_Front
3.0231195130765443,1.3653538611805596,4003.665082446136,16,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12392413042558196993778495_14_Front
3.1198022028434016,1.402753984856772,4000.4004109272146,15,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12394213900332199600433971_15_Front
3.1029544995461897,1.7822490258161339,4025.7541162698735,15,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_12395111342563111017347331_16_Front
2.9809593012336584,1.4959737795313572,4013.5433304581184,14,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_13183914919469655714817959_17_Front
2.986498077281688,2.1024473297677715,4010.36394879447,15,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1319017685837475327750218_18_Front
2.1510868073786127,1.6408413001850657,4271.677418313712,16,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1319322469177728614086893_19_Front
2.4911912437466195,1.6631027216658874,4250.880729620026,13,outputExpAgricultural_PropLarge/exp8/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1319415598808804746734078_20_Front
20.91129972803443,0.2622227079223764,2404.0099705637986,2,outputExpAgricultural_PropLarge/exp8/agricultural|KMeans|25|1000|Euclidean|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1401533619741572382012093_1_Front
8.111140185104327,2.4089708394069986,3519.1647171032187,12,outputExpAgricultural_PropLarge/exp8/agricultural|KMeans|25|1000|Euclidean|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1402333204939759992555491_2_Front
7.99511445045871,1.894874286665352,3527.3020337507432,15,outputExpAgricultural_PropLarge/exp8/agricultural|KMeans|25|1000|Euclidean|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_14025311442317458149443281_3_Front
6.561685945480429,2.1459930335871076,3613.23903978615,15,outputExpAgricultural_PropLarge/exp8/agricultural|KMeans|25|1000|Euclidean|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1403369913711533472487104_4_Front
6.1624949152914335,2.1227688352419403,3719.599318920387,16,outputExpAgricultural_PropLarge/exp8/agricultural|KMeans|25|1000|Euclidean|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1404067684371842613513260_5_Front
5.7664029036248055,2.1387881265931754,3756.213935125302,17,outputExpAgricultural_PropLarge/exp8/agricultural|KMeans|25|1000|Euclidean|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_14042916615091815606175572_6_Front
5.71798041850154,2.2638564534212398,3760.2056616363598,16,outputExpAgricultural_PropLarge/exp8/agricultural|KMeans|25|1000|Euclidean|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_14050012833878346247886025_7_Front
