"Pmax=? [ F ""success"" ]","Rmin=? [ F ""done"" ]",experiment
0.9924,212.8507,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0816211988031016303136410_3_Front
0.6816,167.1834,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0816211988031016303136410_3_Front
0.9427,208.5811,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0816211988031016303136410_3_Front
0.9924,212.8507,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.6816,167.1834,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.9427,208.5811,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.7768,187.3868,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.7085,172.9148,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.838,202.3932,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.7902,198.2201,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.9903,212.802,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.8234,199.7882,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.83,201.8923,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08172018353970562855752608_4_Front
0.9945,213.1084,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0819055940947546705428454_5_Front
0.6816,167.1834,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0819055940947546705428454_5_Front
0.7085,172.9148,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0819055940947546705428454_5_Front
0.838,202.3932,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0819055940947546705428454_5_Front
0.9407,208.3303,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0819055940947546705428454_5_Front
0.7768,187.3868,outputExpAgricultural_PropMin/exp10/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0819055940947546705428454_5_Front
