IGD,GD,HV,pareto_front_size,experiment,iteration,source_folder,time
15.505000528320856,8.006289053303353,2072.278532827852,6,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,1,exp1,9.601
11.867546894113003,7.677835050459321,2222.319654856359,11,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,2,exp1,22.048
11.431157286600175,7.512543924730739,2324.634159551695,16,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,3,exp1,37.856
11.372828140034585,6.672688053358073,2328.282243291505,16,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,4,exp1,56.345
11.049909362440552,6.302895051772069,2356.8563823416434,16,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,5,exp1,76.814
10.410289168176844,5.517304067091899,2454.009505402332,17,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,6,exp1,96.173
10.130857748495801,5.200151177503511,2510.243576828539,16,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,7,exp1,108.964
9.855148231630023,4.812990965269848,2551.0540982902567,15,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,8,exp1,122.031
9.328851036347682,4.602369242982359,2736.3398558609033,18,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,9,exp1,131.735
5.692185514434554,4.940126321299576,3711.768114631864,19,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,10,exp1,141.56
5.712864466528834,4.829562520566588,3713.518040075451,19,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,11,exp1,153.844
5.628658164950779,6.444796601256616,3706.3008809367816,18,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,12,exp1,163.266
5.570456542976747,6.149203396959392,3743.502132269585,18,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,13,exp1,179.567
5.501348505916476,5.884962911008703,3761.0481104272953,18,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,14,exp1,185.962
5.485747825397984,5.907238724866594,3753.760943763552,18,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,15,exp1,196.932
5.340854704290416,4.335950718662713,3769.6114128657455,18,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,16,exp1,207.001
4.548514635466784,2.970301403181802,3910.1948030992617,16,agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII,17,exp1,215.51
