"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.0,0.0,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.9061,67.2142,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.728,61.8391,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.7851,63.0757,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.73,62.9411,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.8246,64.0027,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.982,69.429,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.962,69.2647,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.8142,63.82,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
0.8355,67.0926,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10100812352426983177388391_1_Front
-0.0,0.0,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.9061,67.2142,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.8246,64.0027,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.982,69.429,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.962,69.2647,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.8142,63.82,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.8355,67.0926,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.8101,63.049,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.962,69.2647,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.9578,69.0978,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.8178,63.9869,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.7573,60.7342,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
0.8246,64.0027,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10101510692203699789455872_2_Front
-0.0,0.0,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.9061,67.2142,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.8246,64.0027,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.982,69.429,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.8142,63.82,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.8355,67.0926,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.8101,63.049,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.7573,60.7342,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.8246,64.0027,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.8205,63.8273,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.9698,69.2609,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.835,64.2112,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.8142,63.82,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
0.9623,69.0281,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10102517471982404775781305_3_Front
-0.0,0.0,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.982,69.429,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.7573,60.7342,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.9015,67.0363,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.835,64.2112,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.8101,63.049,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.9285,67.4758,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.9461,68.3761,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.835,64.2112,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
0.8101,63.049,output_Construct_Both/exp13/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1010333456940418821255867_4_Front
