"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
5.624999999999994,97.46623235613458,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
36.86046511627908,70.44386536373504,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
82.90697674418605,35.67513572204124,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
30.799418604651162,75.76503800217155,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
7.747093023255816,93.25993485342018,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
22.67441860465117,76.22757871878392,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
45.39244186046512,67.242996742671,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
35.79941860465116,71.5200868621064,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
51.468023255813954,42.48078175895763,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
10.683139534883724,92.88990228013027,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
50.55232558139535,55.657763300760024,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
34.95639534883722,72.35700325732896,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
5.624999999999994,97.46623235613458,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
7.747093023255816,93.25993485342018,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
22.67441860465117,76.22757871878392,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
51.468023255813954,42.48078175895763,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
10.683139534883724,92.88990228013027,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
79.65116279069768,31.618241042345257,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
31.3953488372093,67.75070575461454,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
92.19476744186046,12.838219326818686,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
48.880813953488385,43.72942453854505,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
37.16569767441861,66.60803474484254,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
1.511627906976739,98.19239956568946,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
27.979651162790702,72.04733984799131,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
1.511627906976739,98.19239956568946,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0857389687099932308428338_3_Front
81.96220930232559,7.072747014115101,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0857389687099932308428338_3_Front
63.6046511627907,29.98914223669924,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0857389687099932308428338_3_Front
