"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
0.9583,69.3911,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.7434,63.1692,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.4266,55.1637,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.7851,64.3944,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.9437,68.4226,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.841,64.5009,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.6847,62.4322,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.7507,63.417,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.6429,56.7307,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.9235,68.3374,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.6492,59.7647,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.7565,63.6097,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572017680092665615718490_1_Front
0.9583,69.3911,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
0.9437,68.4226,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
0.841,64.5009,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
0.6429,56.7307,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
0.9235,68.3374,output_Construct_Both/exp7/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08572817546874407421468865_2_Front
