"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
0.7972,62.0528,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958084690063916760382309_1_Front
0.84,64.3621,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958084690063916760382309_1_Front
0.9871,69.4996,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958084690063916760382309_1_Front
0.9096,66.8723,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958084690063916760382309_1_Front
0.9914,69.5865,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958084690063916760382309_1_Front
0.7972,62.0528,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.84,64.3621,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.9871,69.4996,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.9096,66.8723,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.9914,69.5865,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.9265,67.3223,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.9475,68.0532,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.9914,69.5865,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.9914,69.5865,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.8363,64.1946,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0958186952133025887964375_2_Front
0.7972,62.0528,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09583516634256257541146229_3_Front
0.84,64.3621,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09583516634256257541146229_3_Front
0.9871,69.4996,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09583516634256257541146229_3_Front
0.9096,66.8723,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09583516634256257541146229_3_Front
0.9265,67.3223,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09583516634256257541146229_3_Front
0.9475,68.0532,output_Construct_Model/exp12/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09583516634256257541146229_3_Front
