"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
53.09764309764308,81.63538873994644,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_074048695920235564035215_1_Front
89.73063973063971,35.222654998566796,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_074048695920235564035215_1_Front
10.841750841750843,89.61674001382636,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_074048695920235564035215_1_Front
60.303030303030305,51.23762793599409,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_074048695920235564035215_1_Front
63.602693602693584,43.198104776839166,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_074048695920235564035215_1_Front
67.37373737373734,35.99912320636685,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_074048695920235564035215_1_Front
53.09764309764308,81.63538873994644,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07410016988322504779927823_2_Front
89.73063973063971,35.222654998566796,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07410016988322504779927823_2_Front
10.841750841750843,89.61674001382636,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07410016988322504779927823_2_Front
60.303030303030305,51.23762793599409,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07410016988322504779927823_2_Front
63.602693602693584,43.198104776839166,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07410016988322504779927823_2_Front
67.37373737373734,35.99912320636685,output_Construct_None/exp1/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07410016988322504779927823_2_Front
