"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
0.9899,69.6882,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
0.8186,62.3221,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
0.9293,68.2946,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
0.9748,69.1389,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192113152765966924790818_1_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.8186,62.3221,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.9293,68.2946,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.9748,69.1389,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.9748,69.1389,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.9936,69.5779,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.9255,68.2277,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.9238,67.2972,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.7006,60.7444,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
0.9455,68.3428,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10192916478810028367112959_2_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_101939723327874208905243_3_Front
-0.0,0.0,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_101939723327874208905243_3_Front
0.9936,69.5779,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_101939723327874208905243_3_Front
0.7006,60.7444,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_101939723327874208905243_3_Front
0.8405,64.2885,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_101939723327874208905243_3_Front
0.9216,67.183,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_101939723327874208905243_3_Front
0.728,61.92,output_Construct_None/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_101939723327874208905243_3_Front
