IGD,GD,HV,pareto_front_size,experiment
13.661358179588051,4.664074301506796,2743.4591513735218,7,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09351515295736456928634357_1_Front
11.978374316515158,5.721998906262201,2937.5741293123892,15,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0935279862443625642128519_2_Front
9.7216156798422,5.7956870079089535,3385.388906294693,18,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09354115688762344125651130_3_Front
7.131771926704423,4.739250955466453,3514.179477375995,18,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093548818381532769436604_4_Front
5.8813809776777255,3.9615067430687434,3769.8512928222426,16,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_093558899698511782682537_5_Front
5.83966022130864,3.1389603791497986,3778.7181878651118,17,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09360915112582753731727642_6_Front
5.47510537574665,3.1441190769584315,3811.9953871229714,15,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936195366469048491768655_7_Front
4.539658483019173,1.5628255400591557,3977.6953400051325,16,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09362716349195689588857308_8_Front
4.07965609925706,2.3751189239350716,3980.867239025686,16,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936427920892286852922425_9_Front
4.3140205866839905,2.0535736537261164,4021.0117051191382,15,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0936549216598085862635761_10_Front
4.147517382596393,1.340795526157259,4043.73282014494,16,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371312664379781049851916_11_Front
2.451388094994094,0.28705543362765573,4081.0250274598156,16,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09371810037623474371085754_12_Front
2.216519832475911,0.2870031996864602,4102.538380826889,16,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0937357365526093038257076_13_Front
2.196675966831026,0.26467853948619885,4103.515042589024,14,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09375112637502371872538415_14_Front
2.198897611311636,0.24581764759686747,4121.204532645713,14,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09375711409293852125499609_15_Front
2.6563804298530562,0.06503109510991038,4089.032236534267,14,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0938075235160437636906956_16_Front
2.6040700919186373,0.025996315935947513,4094.8881413300323,14,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0938204175709679270712011_17_Front
2.853505441105913,0.02538249430891138,4066.0137833275217,13,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0938299503852735958172905_18_Front
2.9358980117029327,0.07748331858026061,4077.5141442781714,14,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09383816099797731653855595_19_Front
2.3976244887028897,0.04270272693928376,4137.769185954646,13,output_Construct_None/exp20/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09385111174755058839255853_20_Front
8.116841509380937,3.623845010644388,3528.45088130264,9,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0947153408042171043747742_1_Front
6.533889410613204,3.323549386239759,3714.4640011951224,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0947304083179156175735471_2_Front
5.680215026972208,2.26621553429583,3889.7493905090846,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09473915816016787750640929_3_Front
2.388463276703994,1.0577906757052185,4075.73823042318,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09475017071738212938118727_4_Front
2.141308823523367,0.7883202074778529,4107.770466790291,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0948063014130646028945830_5_Front
1.7845406704029247,0.7872109106948675,4151.284505456904,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0948202408872851258055896_6_Front
2.3581738523271194,0.9895857196061988,4036.811197509078,14,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_094830949044148981131769_7_Front
2.349178811929775,0.887642128686168,4032.7062026568037,14,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09483714229690123629310042_8_Front
2.370224773550651,0.5548926159821274,4061.3718225364646,14,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0948457733367914459130406_9_Front
2.045215383032577,0.654141639583374,4080.2903146798026,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09485611379933784175116239_10_Front
2.0725253851250374,0.8023894493177562,4078.2474875914277,16,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0949059306521050545588806_11_Front
1.6193341155929726,0.7822322547252916,4162.611034241024,16,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0949154359916361880651891_12_Front
1.3925524869513648,0.5780494379425639,4209.436738563317,17,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0949267756054290364843984_13_Front
1.8238269411605788,0.594822970275343,4135.593531189263,14,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0949352822828640017190060_14_Front
1.8289949187881598,0.595360233670514,4142.230641707021,14,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0949451992922251459651799_15_Front
1.573154406890956,0.1657561795148342,4210.208626879583,16,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0949566089446562348857643_16_Front
1.687785001598528,0.17558083499573351,4189.229669082801,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950072155988941944742391_17_Front
1.704717357905648,0.3094318720856496,4196.8399566732805,15,output_Construct_None/exp20/agricultural|Random|25|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950204531743944247797331_18_Front
