"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
0.7908,67.0978,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.7608,63.9605,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.7546,63.2937,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.5943,57.6,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.9906,69.5345,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.7293,61.7748,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.9359,68.0032,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.9578,68.8779,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.5562,53.6983,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.9402,68.828,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.9716,69.1884,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009214243301415447571702_1_Front
0.9906,69.5345,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.5054,53.4451,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.8268,63.2338,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.7293,61.7748,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.9359,68.0032,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.6664,59.999,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.5562,53.6983,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.6541,57.8533,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.5945,57.6204,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.5943,57.6,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.9716,69.1884,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
0.9578,68.8779,output_Construct_PropLarge/exp18/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_1009284767127057515968137_2_Front
