"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
0.7411,62.9359,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
0.9374,68.0143,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
0.9528,68.4227,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
0.7233,61.644,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
0.7764,63.9727,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
0.9689,68.6048,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
0.9511,68.1921,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747363388274378579427346_1_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.9374,68.0143,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.7233,61.644,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.9689,68.6048,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.9511,68.1921,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.8261,63.9981,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.7777,61.9222,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.8611,67.8823,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.9633,68.3002,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.8142,63.8202,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.9396,68.1284,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.9665,68.4902,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.9374,68.0143,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.7777,61.9222,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
0.8611,67.8823,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07474413777978358766009242_2_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9693,69.116,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.7233,61.644,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.7233,61.644,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.8611,67.8823,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9189,67.9608,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.8152,62.2616,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.8261,63.9981,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.8261,63.9981,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.7738,61.773,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.7777,61.9222,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.8611,67.8823,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9374,68.0143,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9633,68.3002,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9396,68.1284,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9511,68.1921,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9511,68.1921,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.9689,68.6048,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
0.7777,61.9222,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0747535581060602724645493_3_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
-0.0,0.0,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9719,69.2758,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.7081,58.0675,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.8993,66.921,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.7573,60.7332,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.8261,63.9981,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.7738,61.773,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.8261,63.9981,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.7899,61.9154,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.8187,62.3227,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.8152,62.2616,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9189,67.9608,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9073,67.8527,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9374,68.0143,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9689,68.6048,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9633,68.3002,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9396,68.1284,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
0.9511,68.1921,output_Construct_PropLarge/exp2/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0748003172993624318551171_4_Front
