"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
0.7611,63.0827,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.8493,67.4638,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.9197,68.6908,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.9743,69.1857,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.955,68.9097,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.7459,62.2876,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.9674,69.1009,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.8368,64.1204,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.685,62.2437,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.771,63.4932,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.652,57.6379,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10234816256751028902115346_1_Front
0.9743,69.1857,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.652,57.6379,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.7134,61.1333,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.8368,64.1204,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.9195,67.7169,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.7718,63.929,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.8493,67.4638,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.7459,62.2876,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.845,67.2862,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.9382,68.117,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.7593,62.9836,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.955,68.9097,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.7611,63.0827,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.771,63.4932,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.9674,69.1009,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
0.9731,69.1479,output_Construct_PropMin/exp15/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_10235712421396565829953280_2_Front
