"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
68.54294928173557,55.67691271469245,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08423017658272991831483461_1_Front
9.381413075344483,94.73946055169463,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08423017658272991831483461_1_Front
97.33216065669892,32.451856841074,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08423017658272991831483461_1_Front
20.756376429199644,81.53185561644679,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08423017658272991831483461_1_Front
5.89270008795075,96.12405474083826,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08423017658272991831483461_1_Front
18.381706244503075,86.86051495576031,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08423017658272991831483461_1_Front
74.3183817062445,41.92511404341301,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08423017658272991831483461_1_Front
9.381413075344483,94.73946055169463,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
97.33216065669892,32.451856841074,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
20.756376429199644,81.53185561644679,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
18.381706244503075,86.86051495576031,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
74.3183817062445,41.92511404341301,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
9.410729991204931,94.72568349508622,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
27.29404866608032,79.52805927195908,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
5.804749340369406,95.2660502709488,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
54.96921723834654,54.09102042065944,output_Construct_PropMin/exp4/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0842368363605318397901913_2_Front
