"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.0,0.0,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08254711821224629547881792_1_Front
-0.0,0.0,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08254711821224629547881792_1_Front
0.9456,68.9873,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08254711821224629547881792_1_Front
0.8846,68.4781,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08254711821224629547881792_1_Front
0.7469,63.0369,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08254711821224629547881792_1_Front
0.9439,68.9028,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08254711821224629547881792_1_Front
0.8106,63.059,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_08254711821224629547881792_1_Front
-0.0,0.0,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
-0.0,0.0,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.9456,68.9873,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.9439,68.9028,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.8106,63.059,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.9211,68.0736,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.8212,64.1441,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.776,60.9945,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.8106,63.059,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.8304,66.2983,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.9652,69.3918,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.9439,68.9028,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.8106,63.059,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
0.906,67.2127,output_Construct_PropMin/exp8/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0825549599343652301707397_2_Front
