"Pmax=? [ F ""success"" ]","Rmin=? [ F ""done"" ]",experiment
-0.8736,157.646,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16465311979112746188458650_1_Front
-0.8429,148.7327,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16465311979112746188458650_1_Front
-0.7008,137.2806,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16465311979112746188458650_1_Front
-0.8736,157.646,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16483612731113243978109093_2_Front
-0.8429,148.7327,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16483612731113243978109093_2_Front
-0.7008,137.2806,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16483612731113243978109093_2_Front
-0.9791,158.8113,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16483612731113243978109093_2_Front
-0.8266,148.5795,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16483612731113243978109093_2_Front
-0.8497,149.2596,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16483612731113243978109093_2_Front
-0.7099,137.709,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/outputSanity/agricultural6/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_271125_16483612731113243978109093_2_Front
