"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.9899,69.6885,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09441814741819508854357534_1_Front
-0.8151,63.8521,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09441814741819508854357534_1_Front
-0.7143,61.0069,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09441814741819508854357534_1_Front
-0.988,69.3715,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09441814741819508854357534_1_Front
-0.9617,69.3428,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09441814741819508854357534_1_Front
-0.7143,61.0069,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.988,69.3715,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.8282,63.1338,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.8503,67.3375,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.9593,69.1811,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.9856,69.2572,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.993,69.549,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.9479,68.2431,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944283405371170398512460_2_Front
-0.7143,61.0069,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.988,69.3715,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.8282,63.1338,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.8503,67.3375,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.9593,69.1811,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.9856,69.2572,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.993,69.549,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.9479,68.2431,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.8316,63.359,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.9569,69.0618,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944404463754194958501244_3_Front
-0.993,69.549,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.7143,61.0069,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.7947,62.0055,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.9351,67.5605,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.8503,67.3375,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.8402,64.1666,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.8461,67.1597,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.8282,63.1338,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.9593,69.1811,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.9856,69.2572,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.8316,63.359,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
-0.9569,69.0618,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0944515008538089539324679_4_Front
