"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.8417,64.2705,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0740585581100729640257740_1_Front
-0.8417,64.2705,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07411017693404677161042058_2_Front
-0.968,68.3884,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07411017693404677161042058_2_Front
-0.9793,69.0648,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07411017693404677161042058_2_Front
-0.968,68.3884,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0741253381359495934776677_3_Front
-0.9793,69.0648,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0741253381359495934776677_3_Front
-0.8439,64.3338,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0741253381359495934776677_3_Front
-0.8417,64.2705,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0741253381359495934776677_3_Front
-0.968,68.3884,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07413918294386810866865558_4_Front
-0.9793,69.0648,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07413918294386810866865558_4_Front
-0.9867,69.4023,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07413918294386810866865558_4_Front
-0.8308,63.1864,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07415810812053993837873711_5_Front
-0.968,68.3884,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07415810812053993837873711_5_Front
-0.9793,69.0648,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07415810812053993837873711_5_Front
-0.9752,68.679,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07415810812053993837873711_5_Front
-0.9842,69.2411,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07415810812053993837873711_5_Front
-0.9867,69.4023,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07415810812053993837873711_5_Front
-0.8308,63.1864,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07421115392466451672448608_6_Front
-0.968,68.3884,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07421115392466451672448608_6_Front
-0.9752,68.679,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07421115392466451672448608_6_Front
-0.9793,69.0648,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_None/exp8/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07421115392466451672448608_6_Front
