"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
0.9181,68.0327,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.8405,67.1079,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.9322,68.1149,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.9864,69.4174,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.9455,68.3256,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.7249,62.4531,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.7597,62.5992,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.7129,61.8313,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09433610759427289766383284_1_Front
0.8405,67.1079,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.9322,68.1149,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.9864,69.4174,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.7597,62.5992,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.7129,61.8313,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.7105,61.7877,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.9803,69.3039,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.9655,69.0802,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.9512,68.5162,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
0.784,62.9377,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp16/agricultural|NONE|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09434416255357555549875867_2_Front
