"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.701,60.1457,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.4515,54.2177,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.9368,68.106,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.9359,68.0015,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.8475,64.4922,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.9967,69.7499,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.9572,69.19,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.7615,61.8955,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.9566,68.2021,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.8207,63.8372,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.6024,57.7488,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0950109444145422350363823_1_Front
-0.701,60.1457,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.4515,54.2177,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.9359,68.0015,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.8475,64.4922,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.9967,69.7499,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.9572,69.19,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.9566,68.2021,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.8207,63.8372,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.6024,57.7488,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.4492,54.0684,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.9368,68.105,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.7163,61.1855,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.8375,64.2383,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.7869,61.8039,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.8355,64.1237,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09501717995152614536286853_2_Front
-0.9967,69.7499,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
-0.4492,54.0684,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
-0.6578,56.7104,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
-0.4515,54.2175,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
-0.701,60.1457,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
-0.9345,67.9919,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
-0.7163,61.1855,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
-0.8475,64.4922,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp17/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_09502713354293949590749128_3_Front
