"P=? [ F ""success"" ]","R=? [ F ""done"" ]",experiment
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0756453513973183857768060_1_Front
-0.8372,63.4181,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0756453513973183857768060_1_Front
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0756569640235301856485517_2_Front
-0.8372,63.4181,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0756569640235301856485517_2_Front
-0.8465,64.4593,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0756569640235301856485517_2_Front
-0.9955,69.7112,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0756569640235301856485517_2_Front
-0.9958,69.737,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757131991610870765476467_3_Front
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757131991610870765476467_3_Front
-0.8372,63.4181,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757131991610870765476467_3_Front
-0.9958,69.737,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_075730380810125759994808_4_Front
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_075730380810125759994808_4_Front
-0.8362,63.3808,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_075730380810125759994808_4_Front
-0.9867,69.4023,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_075730380810125759994808_4_Front
-0.9958,69.737,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07573989877393672283915_5_Front
-0.6794,57.1458,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07573989877393672283915_5_Front
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07573989877393672283915_5_Front
-0.9867,69.4023,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07573989877393672283915_5_Front
-0.8197,62.3604,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07573989877393672283915_5_Front
-0.8373,63.4198,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07573989877393672283915_5_Front
-0.9958,69.737,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.6794,57.1458,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.8373,63.4198,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.6712,56.9105,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.9867,69.4023,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.9734,68.5765,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.8197,62.3604,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757468502031857974561770_6_Front
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757598410784451421385844_7_Front
-0.6794,57.1458,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757598410784451421385844_7_Front
-0.6712,56.9105,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757598410784451421385844_7_Front
-0.9867,69.4023,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757598410784451421385844_7_Front
-0.8308,63.1855,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757598410784451421385844_7_Front
-0.8197,62.3604,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_0757598410784451421385844_7_Front
-0.7822,61.1698,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07581314822216789816225152_8_Front
-0.6794,57.1458,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07581314822216789816225152_8_Front
-0.6712,56.9105,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07581314822216789816225152_8_Front
-0.8308,63.1855,/mnt/scratch/users/gnvf500/CPHSTaskPlanning/output_Construct_PropLarge/exp5/agricultural|NONE2|0|-|-|-|-|-|FRONT|20|400|NSGAII/results/AGRICULTURAL_NSGAII_131225_07581314822216789816225152_8_Front
